date,open,high,low,close,volume
2015-05-05,61.2222,61.5001,59.9936,60.0171,21868228.296357
2015-05-06,60.5551,60.7967,59.5025,59.7813,22292339.498395
2015-05-07,59.666,59.6786,58.6926,59.1348,23661301.183965
2015-05-08,59.6052,60.1716,58.9303,60.1051,19744699.460499
2015-05-11,60.1648,60.1932,58.9157,58.9704,24681416.907201
2015-05-12,58.9519,59.5544,58.7826,59.2472,13400823.403092
2015-05-13,59.708,59.8332,58.8697,59.0908,17050724.430318
2015-05-14,59.2609,59.6572,59.033,59.0682,13082878.266581
2015-05-15,58.8481,59.5397,58.6701,59.304,13033762.238634
2015-05-18,59.1866,59.4283,58.9371,59.3587,9834095.0456048
2015-05-19,58.9567,59.0184,58.4207,58.5097,18934852.882693
2015-05-20,58.5968,58.8119,58.2798,58.6202,17171884.455298
2015-05-21,58.9519,59.2609,58.7366,59.172,13721528.728497
2015-05-22,58.8119,59.2228,58.6554,58.9567,8652317.1033799
2015-05-26,58.4813,58.6046,57.8045,58.0245,17933154.775432
2015-05-27,57.9883,58.4588,57.6088,57.9218,15473021.926134
2015-05-28,57.7242,57.7966,57.3291,57.6949,16545352.244923
2015-05-29,57.6636,57.9981,57.4875,57.6274,17653676.449195
2015-06-01,57.7751,57.7829,57.4083,57.4787,11544925.54936
2015-06-02,57.6636,58.1546,57.3495,57.8807,13851172.756306
2015-06-03,57.6949,58.1302,57.3995,57.4787,11753070.37163
2015-06-04,57.2107,57.2889,56.656,56.7029,21690986.344495
2015-06-05,56.4731,57.6156,56.4232,57.0972,25785417.837828
2015-06-08,56.9143,57.2107,56.6433,56.7763,13204618.953521
2015-06-09,57.1285,57.4787,56.7441,56.7685,15007839.11334
2015-06-10,57.466,57.6274,57.2664,57.466,13309226.023468
2015-06-11,57.4875,57.6724,57.1568,57.2107,11448835.195591
2015-06-12,56.9211,56.927,56.4731,56.57,16123637.295763
2015-06-15,56.1806,56.7381,56.0104,56.4388,10984923.091981
2015-06-16,56.5102,56.8957,56.2677,56.8781,12266441.993361
2015-06-17,57.1725,57.4298,56.4516,56.7381,14165518.402038
2015-06-18,56.9358,57.1725,56.6492,56.7029,17238116.721269
2015-06-19,56.4564,56.6853,56.1532,56.1757,23289449.558338
2015-06-22,56.6853,56.9152,56.435,56.8643,14293283.456814
2015-06-23,56.7813,57.1529,56.7245,57.0482,9618198.1817073
2015-06-24,56.9211,57.2478,56.6687,56.6951,9186434.1003854
2015-06-25,56.6775,56.7431,56.1004,56.1151,11736885.441785
2015-06-26,56.0877,56.3156,55.7531,56.3019,15907955.113224
2015-06-29,55.6436,55.9458,55.1897,55.2367,18779337.706601
2015-06-30,55.7483,55.8324,55.2641,55.6191,20500059.909521
2015-07-01,55.7326,55.7531,54.6899,54.9109,18796772.899788
2015-07-02,55.0586,55.4508,55.0136,55.1555,13107918.291318
2015-07-06,54.4286,54.956,54.1997,54.4286,18254900.794279
2015-07-07,54.2135,55.1173,53.5991,54.9226,27953068.804317
2015-07-08,54.5842,54.9226,53.5923,53.8163,22325159.166647
2015-07-09,54.5549,54.7837,54.0883,54.0883,16156189.123464
2015-07-10,54.415,54.7554,54.1185,54.3866,17905180.772128
2015-07-13,54.5695,54.9031,54.4208,54.7701,19402970.696345
2015-07-14,54.6145,55.3844,54.5911,55.1623,17099612.487108
2015-07-15,54.8786,55.1486,54.0051,54.1939,17172748.292194
2015-07-16,54.503,54.6644,54.1625,54.2673,10622194.401797
2015-07-17,54.2135,54.2673,53.4309,53.606,19047976.668819
2015-07-20,53.7029,53.7117,52.8312,52.8968,18692989.79734
2015-07-21,53.0142,53.4378,52.756,52.9203,14349492.147929
2015-07-22,52.7031,53.023,52.3794,52.4899,20552250.992355
2015-07-23,52.5643,52.8744,52.0457,52.4459,15248785.202605
2015-07-24,52.4537,52.4693,51.2476,51.4393,16964267.135794
2015-07-27,50.776,51.2984,50.4777,50.6998,23237965.901695
2015-07-28,50.7712,52.4282,50.738,52.1495,25591799.787481
2015-07-29,52.0145,52.9144,51.853,52.8576,31657264.791692
2015-07-30,52.7481,52.9056,52.26,52.4899,17063183.105157
2015-07-31,52.0379,52.1103,51.2622,51.3444,29444096.265742
2015-08-03,50.7946,51.1107,50.1598,50.2626,22871999.612166
2015-08-04,50.4845,50.8759,49.8781,50.0923,17246014.950678
2015-08-05,50.4845,51.0402,49.662,49.7168,24963584.884172
2015-08-06,49.4193,50.6391,49.0555,50.5091,31427389.10448
2015-08-07,50.2988,50.6998,49.4271,49.6042,23082432.324344
2015-08-10,49.7079,51.2241,49.7079,51.1869,26275157.131157
2015-08-11,50.1657,51.3346,50.0708,51.2838,28445827.948755
2015-08-12,51.1047,52.35,50.8113,52.216,31732668.040839
2015-08-13,51.8776,52.0683,51.3591,51.4246,26774059.229325
2015-08-14,51.5361,51.8922,51.1938,51.3112,16379287.013501
2015-08-17,51.0637,51.6731,50.8915,51.4246,12880629.00333
2015-08-18,51.3278,51.4618,50.9805,51.23,14949880.258009
2015-08-19,50.9502,51.0323,49.5817,49.8155,27273364.110613
2015-08-20,49.6844,50.017,48.6886,48.6945,34237305.358044
2015-08-21,48.2044,48.7307,46.9611,46.9924,34350414.83208
2015-08-24,44.2477,46.3097,43.471,44.4678,58107564.086567
2015-08-25,46.4202,46.4202,43.7879,43.8241,37426384.670931
2015-08-26,44.9334,45.3853,44.0608,45.3344,55062523.697722
2015-08-27,46.3859,47.688,46.2138,47.5784,43567925.592545
2015-08-28,47.4141,49.1532,47.3905,48.6554,42516616.667922
2015-08-31,48.2876,49.4781,47.4209,49.1582,48908417.782882
2015-09-01,47.7456,48.3111,47.0218,47.4297,38799446.770449
2015-09-02,48.1017,48.177,46.7557,47.8649,34497299.817561
2015-09-03,48.1838,49.029,47.7026,47.999,29586798.031608
2015-09-04,47.3084,47.5471,47.0071,47.2057,22545423.262752
2015-09-08,47.7192,48.0137,47.1314,47.9461,21117501.897803
2015-09-09,48.2788,48.8549,46.969,47.0414,24968852.755793
2015-09-10,47.2438,47.5842,46.5894,47.3153,24988414.316721
2015-09-11,46.8427,46.9533,46.2441,46.8946,18032066.655627
2015-09-14,46.5688,46.7763,46.2519,46.4877,16865895.025871
2015-09-15,46.6374,47.1607,46.6296,47.0071,20021592.409806
2015-09-16,47.3817,48.4069,47.3084,48.3365,23264858.319869
2015-09-17,48.3747,49.167,47.999,48.3111,26786446.34371
2015-09-18,47.3984,47.7486,46.7587,47.011,18941817.759338
2015-09-21,47.5402,47.6586,47.011,47.3065,21046140.791947
2015-09-22,46.5768,47.2996,46.4789,46.8095,22871389.303733
2015-09-23,46.9895,47.2037,46.1835,46.204,18759184.2385
2015-09-24,45.8499,46.7352,45.5418,46.4075,25368258.222637
2015-09-25,46.9201,46.9201,46.0788,46.4955,21239031.992552
2015-09-28,46.0104,46.0104,44.6047,44.6409,21933897.279335
2015-09-29,44.8541,45.2199,44.2741,44.5714,25327373.69135
2015-09-30,44.9822,45.7961,44.9294,45.6259,21634212.325803
2015-10-01,46.204,46.7097,45.3041,45.7139,23401511.182886
2015-10-02,45.1935,47.6282,45.1074,47.599,26733838.165665
2015-10-05,48.1956,49.2022,48.1496,49.0369,31934596.304344
2015-10-06,49.209,50.5013,48.9489,50.1266,36843479.801771
2015-10-07,50.7672,51.3924,49.7256,50.7614,53660396.80914
2015-10-08,50.6616,51.9372,50.3506,51.7308,36314163.488858
2015-10-09,51.8394,51.901,51.0745,51.3924,34856456.618856
2015-10-12,51.4735,51.4813,50.2674,50.732,29169307.193749
2015-10-13,50.3457,50.9531,50.0601,50.2009,27951966.773343
2015-10-14,50.0972,50.8211,49.9779,50.6323,20358128.951962
2015-10-15,50.4024,51.5635,50.2312,51.5439,26168431.871806
2015-10-16,51.7308,51.856,50.9033,51.6105,26869986.016344
2015-10-19,51.0921,51.1233,50.3202,50.5893,26157747.896198
2015-10-20,50.4845,50.9717,50.2146,50.732,18453063.955673
2015-10-21,50.5091,50.7536,50.0513,50.1031,19667843.53416
2015-10-22,50.3789,51.1321,50.3574,51.0031,25138905.949023
2015-10-23,50.7672,51.366,50.4396,50.8866,20967531.634514
2015-10-26,50.7888,50.7888,49.6277,49.6424,15876890.72065
2015-10-27,48.9567,49.209,48.538,49.0457,28313472.802077
2015-10-28,49.3881,50.4699,48.9938,50.1344,26501371.990061
2015-10-29,49.9475,50.8573,49.8722,50.3868,13083409.858516
2015-10-30,50.6528,51.2534,50.0601,50.7154,19124705.830928
2015-11-02,50.4103,52.171,50.3378,51.901,20640040.333595
2015-11-03,52.2639,53.6217,52.2444,53.2275,28608413.297586
2015-11-04,53.2803,53.43,52.3558,52.7501,23767417.157176
2015-11-05,52.4889,53.0709,52.0633,52.303,21775726.188152
2015-11-06,51.8394,52.2444,51.2672,52.0331,18459368.431568
2015-11-09,51.9167,52.4889,51.3052,51.5235,17018417.952742
2015-11-10,51.3052,52.0898,51.1087,51.6339,17016283.406663
2015-11-11,51.6242,51.6995,50.4181,50.5355,19275613.53615
2015-11-12,49.8282,50.1794,49.298,49.3881,25904443.316729
2015-11-13,49.2256,49.6346,48.6074,49.1866,23849674.875412
2015-11-16,49.119,50.8798,49.0848,50.8289,23290848.054044
2015-11-17,50.6939,50.9033,50.0806,50.2674,20428013.867904
2015-11-18,50.6225,51.1635,50.1344,51.0921,28104483.566461
2015-11-19,50.7966,51.0745,49.9906,50.4103,25369223.266458
2015-11-20,50.4239,50.6528,49.8184,49.8722,19066622.255951
2015-11-23,49.8282,50.5139,49.5083,50.2312,22008867.076597
2015-11-24,50.4699,51.5303,50.3711,51.3052,25409328.811101
2015-11-25,50.872,51.3102,50.5726,50.8866,14890421.700044
2015-11-27,50.4777,50.732,50.3457,50.5198,11236025.654086
2015-11-30,50.732,51.1987,50.5198,50.7076,23615866.430171
2015-12-01,50.7536,51.1547,50.6274,51.1087,18507440.699196
2015-12-02,50.7722,50.9717,49.3655,49.5279,34109266.328964
2015-12-03,49.7686,49.9309,48.3032,48.538,32486124.981816
2015-12-04,48.0841,48.5243,47.3231,48.2318,44050726.588826
2015-12-07,47.0374,47.1088,45.7365,46.3997,43998549.818083
2015-12-08,45.3755,46.5484,44.9167,45.9223,36669943.659072
2015-12-09,46.1287,47.5089,45.8675,46.5278,38574702.989997
2015-12-10,46.5484,47.5168,46.2275,46.8241,52200577.883488
